Nico,2383,56,Blue,middle,4,3,0,0,FALSE,close1Blue-close2Blue-close3Blue-startingNote,speaker-speaker-No Result-speaker,6,2,3,1,0,middle-middle-middle-bottom-bottom-bottom,amp-amp-ampSpeaker-amp-speaker-speaker,Successful,Failed,No Attempt,No Attempt,0,,,FALSE,0,0,0,0,0,0,,,FALSE
Sierrah,9660,56,Red,top,2,0,0,2,TRUE,startingNote-close3Red,failed-failedIntake,0,0,0,0,0,,,Successful,No Attempt,No Attempt,No Attempt,0,,,FALSE,0,0,0,0,0,0,,,FALSE
Andrew,5276,56,Blue,bottom,1,1,0,0,TRUE,startingNote,speaker,4,0,3,0,0,bottom-bottom-bottom-bottom,amp-amp-amp-No Result,Failed,No Attempt,No Attempt,No Attempt,0,,,FALSE,0,0,0,0,0,0,Got defended a lot,,TRUE
Andrew,9153,56,Red,bottom,1,0,0,0,FALSE,startingNote,No Result,1,0,0,0,0,startingNote,No Result,Successful,No Attempt,No Attempt,No Attempt,0,,,FALSE,0,0,0,0,0,0,,,FALSE
Xanthe,9309,57,Blue,top,1,0,0,1,FALSE,startingNote,failed,0,0,0,0,0,,,Successful,No Attempt,No Attempt,No Attempt,0,,,FALSE,0,0,0,0,0,0,The drivers seem to have little control over what their robot does,,FALSE
Anemone,2992,57,Red,middle,4,4,0,0,FALSE,startingNote-close1Red-close2Red-close3Red,speaker-speaker-speaker-speaker,10,1,4,1,2,middle-top-bottom-top-middle-top-bottom-bottom-bottom-top,intentionalDrop-amp-speaker-failed-amp-failed-amp-amp-ampSpeaker-No Result,No Attempt,No Attempt,No Attempt,No Attempt,0,,,FALSE,0,0,0,0,0,1,Awful driving- missed shots,,FALSE
Andrew,2183,57,Blue,bottom,2,0,0,2,TRUE,startingNote-middle1,failed-failedIntake,10,1,6,1,1,top-bottom-bottom-bottom-top-top-bottom-top-top-bottom,amp-amp-speaker-amp-amp-amp-failed-ampSpeaker-amp-No Result,Successful,Failed,No Attempt,Failed,0,,,FALSE,0,0,0,0,0,0,,,FALSE
Sierrah,3039,57,Red,middle,3,0,0,2,TRUE,startingNote-middle1-middle2,failed-failed-No Result,10,7,0,0,2,startingNote-bottom-bottom-bottom-top-bottom-top-bottom-top-top,speaker-speaker-speaker-speaker-failed-speaker-failed-speaker-speaker-No Result,Successful,Failed,No Attempt,No Attempt,0,,,FALSE,0,1,0,0,0,0,,,FALSE
Nico,4738,57,Blue,middle,5,5,0,0,TRUE,startingNote-close1Blue-close2Blue-close3Blue-middle4,speaker-speaker-speaker-speaker-No Result,12,5,1,0,5,middle-bottom-bottom-top-top-bottom-bottom-bottom-top-top-bottom-top,speaker-amp-failed-failed-failed-speaker-intentionalDrop-speaker-speaker-speaker-failed-failed,Successful,Failed,No Attempt,Failed,0,,,FALSE,0,0,0,1,0,1,Missing shots- messy- Carried by 2183,,FALSE
Anemone,9708,57,Red,bottom,0,0,0,0,FALSE,,,1,0,0,0,1,startingNote,failed,Successful,No Attempt,No Attempt,No Attempt,0,,,FALSE,0,0,0,0,0,0,Like 30 points and a climb rp in fouls nightmare nightmare nightmare ,,TRUE
Xanthe,4087,58,Blue,top,1,1,0,0,FALSE,startingNote,speaker,4,0,4,0,0,bottom-top-bottom-bottom,amp-amp-amp-amp,No Attempt,Successful,No Attempt,No Attempt,0,,,FALSE,0,0,0,0,0,0,Got a note stuck in their bot,,FALSE
Andrew,5965,58,Blue,bottom,1,0,0,0,FALSE,startingNote,intentionalDrop,1,0,0,0,0,bottom,No Result,Successful,No Attempt,No Attempt,No Attempt,0,,,FALSE,0,0,0,0,0,0,,,FALSE
Anemone,3478,58,Red,middle,2,2,0,0,TRUE,startingNote-close1Red,speaker-speaker,9,0,4,3,0,bottom-bottom-bottom-top-top-top-top-top-top,amp-amp-ampSpeaker-amp-ampSpeaker-ampSpeaker-intentionalDrop-amp-trap,No Attempt,Successful,No Attempt,Failed,1,,,FALSE,0,0,0,0,0,1,Damn,,FALSE
Sierrah,2080,58,Red,top,1,0,0,1,FALSE,startingNote,failed,1,0,0,0,1,bottom,failed,Failed,No Attempt,No Attempt,No Attempt,0,,,FALSE,0,0,0,0,0,0,,,FALSE
Andrew,5971,58,Red,bottom,1,0,0,1,FALSE,startingNote,failed,4,0,0,1,3,top-top-top-top,failed-intentionalDrop-ampSpeaker-failed,No Attempt,Successful,No Attempt,No Attempt,0,,,FALSE,0,0,0,0,0,1,,,FALSE
Xanthe,1818,59,Blue,top,1,1,0,0,FALSE,startingNote,speaker,4,0,0,0,4,top-top-top-top,failed-failed-failed-failed,Successful,No Attempt,No Attempt,No Attempt,0,,,FALSE,0,0,0,0,0,0,,,TRUE
Andrew,9717,59,Blue,middle,2,2,0,0,FALSE,startingNote-close2Blue,speaker-speaker,4,0,2,0,2,bottom-bottom-bottom-bottom,amp-failed-amp-failed,Successful,No Attempt,No Attempt,No Attempt,0,,,FALSE,0,0,0,0,0,0,,,FALSE
Nico,7288,59,Blue,bottom,0,0,0,0,FALSE,,,1,0,0,0,1,top,failed,No Attempt,No Attempt,No Attempt,No Attempt,0,,,FALSE,0,0,0,0,0,0,Kit bot- hogging source,,FALSE
Anemone,4107,59,Red,middle,4,3,0,1,TRUE,startingNote-close2Red-close3Red-close1Red,speaker-speaker-speaker-failed,9,1,4,4,2,bottom-bottom-middle-top-top-top-bottom-top-top,amp-amp-ampSpeaker-ampSpeaker-amp-ampSpeaker-amp-failed-failed,No Attempt,Successful,No Attempt,No Attempt,0,,,FALSE,0,0,0,0,0,0,,,FALSE
Anemone,9405,59,Red,top,1,1,0,0,FALSE,startingNote,speaker,0,0,0,0,0,,,Successful,No Attempt,No Attempt,No Attempt,0,,,FALSE,0,0,0,0,0,0,,,FALSE
Anemone,4065,59,Red,bottom,1,1,0,0,FALSE,startingNote,speaker,14,0,5,5,4,middle-middle-middle-middle-top-top-bottom-bottom-bottom-middle-top-bottom-top-bottom,amp-amp-amp-ampSpeaker-failed-amp-ampSpeaker-ampSpeaker-ampSpeaker-amp-ampSpeaker-failed-failed-failed,No Attempt,No Attempt,No Attempt,No Attempt,0,,,FALSE,0,0,0,0,0,0,,,FALSE
Andrew,6184,60,Blue,bottom,1,1,0,0,FALSE,startingNote,speaker,8,3,0,0,1,bottom-bottom-bottom-bottom-bottom-bottom-bottom-bottom,intentionalDrop-intentionalDrop-speaker-speaker-intentionalDrop-intentionalDrop-speaker-failed,Failed,No Attempt,No Attempt,No Attempt,0,,,FALSE,0,0,0,0,0,5,,,FALSE
Xanthe,6017,60,Blue,middle,4,3,0,1,FALSE,startingNote-close1Blue-close2Blue-close3Blue,speaker-failed-speaker-speaker,9,0,6,0,1,middle-bottom-bottom-top-bottom-bottom-bottom-bottom-bottom,amp-amp-amp-amp-intentionalDrop-intentionalDrop-amp-amp-failed,No Attempt,No Attempt,No Attempt,No Attempt,0,,,FALSE,0,0,0,0,0,2,Got defended a lot,,TRUE
Nico,3753,60,Blue,top,1,1,0,0,FALSE,startingNote,speaker,7,3,0,1,3,top-top-top-top-top-top-top,speaker-speaker-failed-failed-failed-ampSpeaker-speaker,No Attempt,No Attempt,No Attempt,No Attempt,0,,,TRUE,0,0,0,0,0,0,Incredibly slow- hugging speaker for the entire match,,FALSE
Andrew,3616,60,Red,top,3,2,0,0,FALSE,startingNote-close3Red-middle4,speaker-speaker-No Result,9,3,4,1,1,startingNote-bottom-bottom-top-top-top-top-top-top,speaker-failed-speaker-amp-amp-amp-amp-ampSpeaker-speaker,No Attempt,Successful,No Attempt,No Attempt,0,,,FALSE,0,0,0,1,0,0,,,FALSE
Andrew,1421,60,Red,bottom,1,1,0,0,TRUE,startingNote,speaker,0,0,0,0,0,,,Successful,No Attempt,No Attempt,No Attempt,0,,,FALSE,0,0,0,0,0,0,,,FALSE
Andrew,364,60,Red,middle,3,3,0,0,TRUE,startingNote-close1Red-close2Red,speaker-speaker-speaker,10,11,0,0,0,middle-top-top-top-top-top-top-top-top-top,speaker-speaker-speaker-speaker-speaker-speaker-speaker-speaker-speaker-speaker,Successful,No Attempt,No Attempt,No Attempt,0,,,FALSE,0,0,0,0,0,0,,,FALSE
Andrew,7483,61,Blue,top,1,0,0,1,FALSE,startingNote,failed,0,0,0,0,0,,,Successful,No Attempt,No Attempt,No Attempt,0,,,FALSE,0,0,0,0,0,0,,,FALSE
Sierrah,5785,61,Red,top,1,0,0,0,FALSE,startingNote,No Result,1,0,0,0,1,startingNote,failed,Successful,No Attempt,No Attempt,No Attempt,0,,,FALSE,0,0,0,0,0,0,,,FALSE
Ethan c,4531,61,Red,bottom,1,1,0,0,FALSE,startingNote,speaker,5,6,0,0,0,middle-bottom-top-top-top,speaker-speaker-speaker-speaker-speaker,Successful,No Attempt,No Attempt,No Attempt,0,,,FALSE,0,0,0,0,0,0,,,FALSE
Nico,5526,61,Blue,bottom,6,2,0,0,TRUE,startingNote-middle1-middle2-middle3-middle4-middle5,speaker-intentionalDrop-intentionalDrop-intentionalDrop-intentionalDrop-intentionalDrop,10,4,3,1,1,middle-top-bottom-bottom-bottom-bottom-top-bottom-bottom-bottom,amp-speaker-speaker-amp-speaker-failed-amp-ampSpeaker-speaker-No Result,No Attempt,No Attempt,No Attempt,No Attempt,0,,,FALSE,1,1,1,1,1,0,Good amp bot- but ran out of time for park- worked well with us,,FALSE
Xanthe,9084,61,Blue,middle,4,4,0,0,FALSE,startingNote-close1Blue-close2Blue-close3Blue,speaker-speaker-speaker-speaker,13,1,3,4,1,middle-middle-bottom-bottom-bottom-top-bottom-bottom-bottom-top-top-bottom-bottom,intentionalDrop-amp-speaker-amp-intentionalDrop-ampSpeaker-ampSpeaker-intentionalDrop-amp-ampSpeaker-ampSpeaker-failed-No Result,No Attempt,Successful,No Attempt,No Attempt,0,,,FALSE,0,0,0,0,0,3,,,FALSE
Andrew,2283,61,Red,middle,4,4,0,0,TRUE,startingNote-close2Red-close3Red-close1Red,speaker-speaker-speaker-speaker,4,2,0,0,2,top-top-top-top,failed-failed-speaker-speaker,Successful,No Attempt,No Attempt,No Attempt,0,,,FALSE,0,0,0,0,0,0,,,FALSE
Xanthe,2383,62,Blue,middle,3,3,0,0,FALSE,startingNote-close2Blue-close3Blue,speaker-speaker-speaker,4,1,2,0,0,bottom-bottom-bottom-bottom,amp-amp-speaker-No Result,Successful,No Attempt,No Attempt,No Attempt,0,,,TRUE,0,0,0,0,0,0,I think they got static shocked lol,,FALSE
Audrey Garfield,3468,62,Red,top,1,1,0,0,FALSE,startingNote,speaker,6,1,2,1,2,bottom-top-bottom-top-top-top,amp-failed-ampSpeaker-amp-failed-speaker,No Attempt,Successful,Failed,No Attempt,0,,,FALSE,0,0,0,0,0,0,,,FALSE
Ethan c,8067,62,Red,middle,2,2,0,0,TRUE,startingNote-close2Red,speaker-speaker,5,0,2,1,2,middle-bottom-top-bottom-top,failed-amp-failed-amp-ampSpeaker,Successful,Failed,No Attempt,No Attempt,0,,,FALSE,0,0,0,0,0,0,,,FALSE
Sierrah,5276,62,Red,middle,1,1,0,0,TRUE,startingNote,speaker,2,0,1,0,0,top-top,amp-intentionalDrop,No Attempt,Successful,No Attempt,No Attempt,0,,,FALSE,0,0,0,0,0,1,,,FALSE
Nico,9708,62,Blue,bottom,0,0,0,0,FALSE,,,4,2,0,0,2,startingNote-bottom-bottom-bottom,speaker-failed-speaker-failed,Successful,No Attempt,No Attempt,No Attempt,0,,,FALSE,0,0,0,0,0,0,Average kit bot- didn’t contribute- didn’t sabotage ,,FALSE
Andrew,4738,62,Blue,top,4,2,0,1,FALSE,startingNote-close3Blue-middle4-middle3,speaker-failed-speaker-No Result,17,4,4,4,0,startingNote-middle-middle-bottom-bottom-top-top-bottom-bottom-bottom-top-bottom-top-top-top-top-top,intentionalDrop-intentionalDrop-intentionalDrop-amp-speaker-ampSpeaker-ampSpeaker-intentionalDrop-intentionalDrop-speaker-speaker-amp-amp-amp-ampSpeaker-ampSpeaker-speaker,No Attempt,Successful,No Attempt,No Attempt,0,,,FALSE,0,0,1,1,0,5,,,FALSE
Andrew,5971,63,Blue,bottom,1,1,0,0,TRUE,startingNote,speaker,3,2,0,0,0,bottom-bottom-bottom,speaker-speaker-No Result,No Attempt,Successful,No Attempt,No Attempt,0,,,FALSE,0,0,0,0,0,0,,,FALSE
Ethan c,5472,63,Red,middle,5,4,0,0,TRUE,startingNote-close1Red-close2Red-close3Red-middle5,speaker-speaker-speaker-speaker-No Result,8,1,4,2,1,middle-top-bottom-top-top-top-bottom-bottom,failed-amp-amp-speaker-ampSpeaker-amp-amp-ampSpeaker,No Attempt,Successful,No Attempt,Successful,0,,,FALSE,0,0,0,0,1,0,,,FALSE
Xanthe,7094,63,Blue,middle,1,1,0,0,FALSE,startingNote,speaker,7,1,3,1,2,top-top-top-top-top-top-top,speaker-amp-amp-amp-ampSpeaker-failed-failed,No Attempt,No Attempt,No Attempt,No Attempt,0,,,FALSE,0,0,0,0,0,0,,,TRUE
Audrey Garfield,3039,63,Red,bottom,3,2,0,2,FALSE,startingNote-middle1-middle2,speaker-failed-failed,7,6,0,0,0,bottom-bottom-bottom-top-bottom-top-top,speaker-speaker-speaker-speaker-speaker-speaker-No Result,No Attempt,Successful,Failed,No Attempt,0,,,FALSE,0,0,0,0,0,0,,,TRUE
Nico,9456,63,Blue,top,0,0,0,0,FALSE,,,3,0,0,0,1,bottom-bottom-bottom,intentionalDrop-failed-intentionalDrop,Successful,No Attempt,No Attempt,No Attempt,0,,,FALSE,0,0,0,0,0,2,Kit bot that can ferry- in the way of the source,,TRUE
Sierrah,2556,63,Red,top,1,1,0,0,FALSE,startingNote,speaker,6,1,0,0,0,middle-top-top-top-top-top,intentionalDrop-intentionalDrop-intentionalDrop-intentionalDrop-intentionalDrop-speaker,No Attempt,Successful,Failed,Successful,0,,,FALSE,0,0,0,0,0,5,,,FALSE
